latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.85196,144.17432,329.72,1.28,1.12,2021-11-26,00:52,T,0,6.1NRT,291.5,29.94,D
-14.62599,132.58913,321.95,3,1.65,2021-11-26,00:52,T,50,6.1NRT,294.09,41.25,D
-15.46058,141.64354,329.95,1.02,1.01,2021-11-26,00:52,T,83,6.1NRT,298.16,9.46,D
-13.1744,130.21608,313.46,4.82,2,2021-11-26,00:52,T,37,6.1NRT,287.99,56.77,D
-13.17663,130.22118,314.14,4.82,2,2021-11-26,00:52,T,44,6.1NRT,288.16,61.31,D
-13.63543,134.79776,321.47,2.13,1.42,2021-11-26,00:52,T,36,6.1NRT,293.55,24.37,D
-12.18879,141.92384,329.95,1,1,2021-11-26,00:52,T,40,6.1NRT,306.01,18.3,D
-12.19012,141.933,327.99,1,1,2021-11-26,00:52,T,69,6.1NRT,304.43,16.36,D
-12.79219,143.05553,323.46,1.07,1.03,2021-11-26,00:52,T,59,6.1NRT,285.55,18.65,D
-11.73235,132.92577,320.22,3.23,1.7,2021-11-26,00:52,T,28,6.1NRT,294.29,43.72,D
-13.40582,141.68547,322.45,1.01,1,2021-11-26,00:52,T,30,6.1NRT,298.85,12,D
-13.45848,141.66827,327.33,1,1,2021-11-26,00:52,T,38,6.1NRT,300.12,11.53,D
-14.20836,141.69991,317.98,1.01,1,2021-11-26,00:52,T,45,6.1NRT,291.32,7.53,D
-14.86206,144.17293,326.13,1.28,1.12,2021-11-26,00:52,T,58,6.1NRT,292.62,23.77,D
-11.38771,142.23738,341.35,1.01,1,2021-11-26,00:52,T,70,6.1NRT,302.97,32.15,D
-11.88684,142.06175,326.62,1.01,1,2021-11-26,00:52,T,59,6.1NRT,295.34,15.44,D
-12.17979,141.92517,326.07,1,1,2021-11-26,00:52,T,39,6.1NRT,303.65,13.2,D
-15.27802,134.47708,320.89,2.09,1.41,2021-11-26,00:52,T,0,6.1NRT,294.07,25.95,D
-16.36913,142.2843,330.09,1.07,1.03,2021-11-26,00:52,T,63,6.1NRT,299.8,12.07,D
-16.34295,142.3699,356.07,1.08,1.04,2021-11-26,00:52,T,98,6.1NRT,306.17,69.68,D
-16.3181,142.44128,341.63,1.09,1.04,2021-11-26,00:52,T,85,6.1NRT,303.58,33.51,D
-16.31388,142.41098,335.82,1.08,1.04,2021-11-26,00:52,T,83,6.1NRT,302.98,22.82,D
-20.25681,138.89583,360.94,1.02,1.01,2021-11-26,00:54,T,100,6.1NRT,301.33,74.92,D
-20.24923,138.90698,325.48,1.02,1.01,2021-11-26,00:54,T,60,6.1NRT,306.57,9.12,D
-20.22061,138.89796,326.38,1.02,1.01,2021-11-26,00:54,T,52,6.1NRT,306,8.79,D
-20.25828,138.90549,385.49,1.02,1.01,2021-11-26,00:54,T,100,6.1NRT,306.64,165.16,D
30.61451,8.26723,304.92,1.1,1.05,2021-11-26,01:13,A,62,6.1NRT,278.77,12.92,N
28.91499,19.78181,310.04,3.25,1.7,2021-11-26,01:13,A,79,6.1NRT,289.12,62.34,N
28.12247,0.31105,304.3,3.21,1.7,2021-11-26,01:13,A,59,6.1NRT,281.95,51.2,N
29.23195,19.68771,300.34,3.14,1.68,2021-11-26,01:13,A,25,6.1NRT,288.26,23.8,N
29.22948,19.69432,303.26,3.14,1.68,2021-11-26,01:13,A,52,6.1NRT,288.19,29.61,N
29.22502,19.71923,302.58,3.16,1.68,2021-11-26,01:13,A,50,6.1NRT,287.91,31.13,N
26.75859,12.41597,302.72,1.2,1.09,2021-11-26,01:13,A,51,6.1NRT,285.1,10.84,N
28.73815,9.79455,300.15,1,1,2021-11-26,01:13,A,19,6.1NRT,281.41,7.63,N
30.22342,7.80681,300.53,1.13,1.06,2021-11-26,01:13,A,29,6.1NRT,278.56,10.5,N
4.42339,7.15837,328.21,1.22,1.1,2021-11-26,01:19,A,100,6.1NRT,289.23,33.8,N
5.78222,4.88857,308.57,1,1,2021-11-26,01:19,A,61,6.1NRT,295.96,4.63,N
5.78089,4.8975,310.18,1,1,2021-11-26,01:19,A,70,6.1NRT,295.99,5.75,N
5.77272,4.88963,307.04,1,1,2021-11-26,01:19,A,51,6.1NRT,296,4.09,N
5.69182,5.18903,303.22,1.01,1,2021-11-26,01:19,A,49,6.1NRT,289.63,4.44,N
5.561,5.07501,325.69,1.01,1,2021-11-26,01:19,A,100,6.1NRT,288.97,22.84,N
4.98471,7.11977,300.81,1.19,1.09,2021-11-26,01:19,A,34,6.1NRT,285.36,4.94,N
5.36445,4.34439,307.38,1,1,2021-11-26,01:19,A,54,6.1NRT,293.52,4.92,N
4.42492,7.16427,312.54,1.22,1.1,2021-11-26,01:19,A,85,6.1NRT,287.17,13.54,N
4.43019,6.78109,303,1.16,1.07,2021-11-26,01:19,A,50,6.1NRT,291.21,4.96,N
3.99442,7.29507,307.07,1.25,1.11,2021-11-26,01:19,A,51,6.1NRT,293.9,6.88,N
3.58045,7.3942,316.8,1.29,1.13,2021-11-26,01:19,A,92,6.1NRT,294.65,17.61,N
3.5787,7.40566,311.5,1.29,1.13,2021-11-26,01:19,A,75,6.1NRT,294.46,11.31,N
10.918,5.93151,304.22,1,1,2021-11-26,01:19,A,59,6.1NRT,291.95,6.36,N
11.57385,1.0533,305.47,1.67,1.27,2021-11-26,01:19,A,64,6.1NRT,292.91,13.97,N
10.67954,5.97929,302.63,1,1,2021-11-26,01:19,A,37,6.1NRT,291.8,4.9,N
10.6782,5.98832,310.34,1,1,2021-11-26,01:19,A,80,6.1NRT,295.47,9.83,N
10.18202,7.87434,301.53,1.14,1.06,2021-11-26,01:19,A,42,6.1NRT,290.96,6.88,N
-0.7498,8.76025,302.47,1.88,1.34,2021-11-26,01:21,A,49,6.1NRT,290.26,10.43,N
4.60464,-2.88396,305.87,2.62,1.55,2021-11-26,01:21,A,22,6.1NRT,292.16,21.06,N
-20.23634,-40.24846,301.22,1.32,1.14,2021-11-26,01:32,T,28,6.1NRT,290.73,6.54,N
-16.71665,-41.28775,303.52,1.29,1.13,2021-11-26,01:32,T,56,6.1NRT,276.56,11.89,N
-21.20184,-43.82907,300.07,1,1,2021-11-26,01:32,T,15,6.1NRT,289.19,4.18,N
-20.2343,-40.23591,305.36,1.32,1.14,2021-11-26,01:32,T,64,6.1NRT,291.54,10.36,N
-22.907,-43.73747,315.1,1.01,1,2021-11-26,01:32,T,91,6.1NRT,293.63,12.86,N
-22.91868,-43.7598,303.66,1.01,1,2021-11-26,01:32,T,27,6.1NRT,292.28,4.31,N
-22.51788,-44.11599,300.17,1.02,1.01,2021-11-26,01:32,T,20,6.1NRT,288.77,3.6,N
-22.91463,-43.73042,310.78,1.01,1,2021-11-26,01:32,T,81,6.1NRT,292.8,8.89,N
-12.44335,-46.84492,303.03,1.04,1.02,2021-11-26,01:34,T,53,6.1NRT,282.51,5.81,N
-9.57361,-40.34511,308.46,1.98,1.37,2021-11-26,01:34,T,75,6.1NRT,288.06,20.17,N
-9.56133,-40.34716,305.41,1.98,1.37,2021-11-26,01:34,T,64,6.1NRT,287.25,14.68,N
-9.41775,-40.33964,312.01,1.99,1.38,2021-11-26,01:34,T,84,6.1NRT,289.68,27.3,N
-9.42069,-40.35757,310.39,1.98,1.37,2021-11-26,01:34,T,80,6.1NRT,289.48,24,N
-9.41549,-40.34681,319.01,1.99,1.38,2021-11-26,01:34,T,98,6.1NRT,289.72,43.53,N
-16.58317,-46.1657,301.35,1.06,1.03,2021-11-26,01:34,T,36,6.1NRT,278.62,6.48,N
-16.18569,-43.4217,314.48,1.05,1.02,2021-11-26,01:34,T,89,6.1NRT,288.47,14.33,N
-14.02301,-43.41346,306.61,1.09,1.04,2021-11-26,01:34,T,69,6.1NRT,288.03,8.65,N
-14.91483,-50.52649,300.28,1.82,1.32,2021-11-26,01:34,T,22,6.1NRT,280.31,11.53,N
-13.97825,-46.44931,311.61,1.04,1.02,2021-11-26,01:34,T,83,6.1NRT,290.68,10.49,N
-13.96911,-46.45068,315.51,1.04,1.02,2021-11-26,01:34,T,91,6.1NRT,290.13,13.98,N
-12.4556,-43.71655,305.45,1.09,1.04,2021-11-26,01:34,T,64,6.1NRT,292.72,6.27,N
-13.12096,-48.87587,302.99,1.32,1.14,2021-11-26,01:34,T,53,6.1NRT,288.35,6.77,N
-12.44205,-46.83539,300.68,1.04,1.02,2021-11-26,01:34,T,32,6.1NRT,282.65,4.34,N
-5.72978,-45.04062,303.18,1.11,1.05,2021-11-26,01:36,T,54,6.1NRT,272.79,8.64,N
-5.33096,-44.89801,300.61,1.14,1.06,2021-11-26,01:36,T,29,6.1NRT,277,6.21,N
-4.4679,-44.18151,305.14,1.28,1.12,2021-11-26,01:36,T,63,6.1NRT,293.32,7.11,N
-4.46956,-44.19297,311.36,1.27,1.12,2021-11-26,01:36,T,82,6.1NRT,293.74,12.77,N
-4.34432,-46.14138,314.73,1.04,1.02,2021-11-26,01:36,T,90,6.1NRT,285.84,14.24,N
-4.13772,-46.88464,308.53,1.01,1,2021-11-26,01:36,T,75,6.1NRT,286.56,8.04,N
-3.95503,-47.15199,303.43,1,1,2021-11-26,01:36,T,52,6.1NRT,287.15,6.81,N
-3.83176,-47.77468,303.51,1,1,2021-11-26,01:36,T,55,6.1NRT,281.84,5.65,N
-5.46042,-43.09555,309.21,1.45,1.19,2021-11-26,01:36,T,77,6.1NRT,287.21,15.08,N
-5.44976,-43.09726,301.72,1.45,1.19,2021-11-26,01:36,T,29,6.1NRT,286.41,6.75,N
42.91715,132.6926,325.48,1.11,1.05,2021-11-26,02:15,T,84,6.1NRT,274.34,32.9,D
42.91488,132.70589,328.48,1.11,1.05,2021-11-26,02:15,T,75,6.1NRT,273.98,36.95,D
33.25934,131.64885,305.54,1.42,1.18,2021-11-26,02:17,T,54,6.1NRT,290.74,8.97,D
36.81086,121.13758,302.57,1.9,1.35,2021-11-26,02:17,T,53,6.1NRT,286.11,14.63,D
36.81527,121.14386,300.08,1.9,1.35,2021-11-26,02:17,T,26,6.1NRT,285.57,10.43,D
36.00163,129.39687,302.66,1.04,1.02,2021-11-26,02:17,T,50,6.1NRT,289.7,5.69,D
36.81699,121.12333,300.51,1.91,1.35,2021-11-26,02:17,T,38,6.1NRT,286.24,11.09,D
36.98594,126.73006,308.28,1.03,1.02,2021-11-26,02:17,T,30,6.1NRT,285.52,9.63,D
27.61468,119.1656,301.9,1.96,1.37,2021-11-26,02:19,T,50,6.1NRT,288.86,16.29,D
27.12301,117.65648,305.43,2.47,1.51,2021-11-26,02:19,T,61,6.1NRT,285.33,30.72,D
31.4313,121.43571,306.45,1.55,1.23,2021-11-26,02:19,T,51,6.1NRT,292.9,10,D
28.56729,119.38512,301.07,1.95,1.36,2021-11-26,02:19,T,44,6.1NRT,287.6,13.35,D
9.72807,122.9555,309.88,1.06,1.03,2021-11-26,02:23,T,33,6.1NRT,290.21,4.53,D
-3.92852,119.79891,319.76,1.04,1.02,2021-11-26,02:28,T,65,6.1NRT,296.44,12.16,D
-2.83,122.17113,312.51,1.32,1.14,2021-11-26,02:28,T,0,6.1NRT,285.93,8.23,D
-3.90405,122.42216,319.52,1.42,1.18,2021-11-26,02:28,T,76,6.1NRT,292.97,18.55,D
-2.00626,121.43451,316.57,1.17,1.08,2021-11-26,02:28,T,59,6.1NRT,296.68,9.95,D
-14.75649,125.22459,312.64,3.39,1.74,2021-11-26,02:30,T,26,6.1NRT,283.88,35.23,D
-8.55983,125.5543,315.55,2.93,1.63,2021-11-26,02:30,T,0,6.1NRT,295.05,30.93,D
-8.56311,125.5806,313.84,2.94,1.63,2021-11-26,02:30,T,36,6.1NRT,294.93,30.04,D
-10.54085,121.96215,314.23,1.65,1.26,2021-11-26,02:30,T,0,6.1NRT,295.1,18.29,D
-18.92136,123.26828,341.32,2.74,1.58,2021-11-26,02:32,T,85,6.1NRT,315.39,112.62,D
-17.3469,122.70277,332.31,2.36,1.48,2021-11-26,02:32,T,29,6.1NRT,310.71,45.84,D
-17.40157,123.18947,344.93,2.57,1.54,2021-11-26,02:32,T,89,6.1NRT,308.1,137.21,D
-17.40425,123.21362,363.59,2.58,1.54,2021-11-26,02:32,T,100,6.1NRT,311.76,307.14,D
