latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
29.66066,28.3592,301.75,1.03,1.01,2021-11-29,00:05,A,44,6.1NRT,286.85,7.17,N
28.91497,19.78883,308.61,2.19,1.44,2021-11-29,00:07,A,75,6.1NRT,274.96,36.84,N
27.64971,22.49793,302.73,1.39,1.17,2021-11-29,00:07,A,51,6.1NRT,285.07,11.09,N
27.6481,22.51197,301.82,1.39,1.17,2021-11-29,00:07,A,40,6.1NRT,285.01,10.2,N
27.64169,22.50535,302.38,1.39,1.17,2021-11-29,00:07,A,33,6.1NRT,284.56,10.64,N
27.65131,22.48387,312.91,1.4,1.17,2021-11-29,00:07,A,86,6.1NRT,284.37,21.65,N
29.23404,19.69097,300.07,2.25,1.45,2021-11-29,00:07,A,15,6.1NRT,281.03,20.07,N
28.91075,20.96726,300.21,1.82,1.32,2021-11-29,00:07,A,14,6.1NRT,285.84,13.64,N
29.23198,19.71385,302.92,2.24,1.45,2021-11-29,00:07,A,52,6.1NRT,282.46,24.59,N
12.18391,14.13227,305.36,3.43,1.74,2021-11-29,00:09,A,64,6.1NRT,290.73,43.65,N
12.18757,14.10096,301.08,3.45,1.75,2021-11-29,00:09,A,37,6.1NRT,289.18,29.42,N
11.19083,21.97418,300.53,1.02,1.01,2021-11-29,00:09,A,29,6.1NRT,289.06,4.9,N
12.18013,14.13653,314.16,3.43,1.74,2021-11-29,00:09,A,89,6.1NRT,290.89,77.61,N
12.7936,24.40284,300.5,1.04,1.02,2021-11-29,00:09,A,29,6.1NRT,290.35,4.43,N
12.18357,14.10519,314.15,3.45,1.75,2021-11-29,00:09,A,89,6.1NRT,290.23,78.23,N
11.33832,30.10398,303.06,2.52,1.53,2021-11-29,00:09,A,53,6.1NRT,291.97,18.65,N
13.85845,23.26475,312.43,1,1,2021-11-29,00:09,A,85,6.1NRT,289.41,12.88,N
9.7101,30.76189,316.07,3.05,1.66,2021-11-29,00:09,A,92,6.1NRT,291.91,71.58,N
9.71461,30.73485,301.17,3.03,1.66,2021-11-29,00:09,A,38,6.1NRT,290.91,19.91,N
9.70902,30.76901,310.4,3.05,1.66,2021-11-29,00:09,A,80,6.1NRT,291.77,49.25,N
9.71373,30.74198,309.25,3.03,1.66,2021-11-29,00:09,A,77,6.1NRT,291.33,44.97,N
12.16827,14.13046,332.9,3.43,1.74,2021-11-29,00:09,A,100,6.1NRT,292.55,198.08,N
12.1719,14.09915,317.05,3.45,1.75,2021-11-29,00:09,A,94,6.1NRT,289.75,92.92,N
9.40827,21.62868,305.02,1.02,1.01,2021-11-29,00:11,A,63,6.1NRT,289.67,6.91,N
9.40695,21.63785,302.67,1.02,1.01,2021-11-29,00:11,A,49,6.1NRT,290.11,5.66,N
