latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
28.92118,19.78068,300.37,2.82,1.6,2021-11-22,00:00,A,26,6.1NRT,284.1,29.97,N
28.90675,19.77941,304.01,2.82,1.6,2021-11-22,00:00,A,58,6.1NRT,284.07,40.02,N
27.99127,22.33416,300.91,1.81,1.32,2021-11-22,00:00,A,35,6.1NRT,282.17,18.15,N
11.07172,32.40814,300.17,2.93,1.63,2021-11-22,00:05,A,20,6.1NRT,286.56,24.93,N
8.96234,25.85302,307.85,1.11,1.05,2021-11-22,00:05,A,64,6.1NRT,276.24,10.81,N
9.76819,32.0608,300.26,2.91,1.63,2021-11-22,00:05,A,23,6.1NRT,286.05,22.02,N
11.91977,20.37404,304.46,1.48,1.2,2021-11-22,00:05,A,60,6.1NRT,289.99,12.04,N
7.21092,28.89053,304.5,1.83,1.33,2021-11-22,00:05,A,60,6.1NRT,288.17,17.58,N
7.22029,28.88057,315.47,1.83,1.32,2021-11-22,00:05,A,91,6.1NRT,288.53,36.93,N
9.29294,21.59721,327.55,1.16,1.07,2021-11-22,00:05,A,100,6.1NRT,290.28,33.95,N
9.29441,21.58683,319.24,1.16,1.07,2021-11-22,00:05,A,98,6.1NRT,289.3,23.03,N
8.7285,25.61418,301.94,1.09,1.04,2021-11-22,00:05,A,45,6.1NRT,287.91,6.91,N
8.73,25.60442,300.58,1.09,1.04,2021-11-22,00:05,A,30,6.1NRT,287.98,6.11,N
9.37378,22.18654,304.49,1.09,1.04,2021-11-22,00:05,A,60,6.1NRT,282.99,8.8,N
8.8938,25.86292,300.63,1.11,1.05,2021-11-22,00:05,A,30,6.1NRT,288.5,5.85,N
8.96383,25.84313,308.74,1.1,1.05,2021-11-22,00:05,A,66,6.1NRT,277.49,11.95,N
8.96945,25.84972,308.44,1.1,1.05,2021-11-22,00:05,A,12,6.1NRT,269.66,11.09,N
9.40287,23.70087,317.98,1,1,2021-11-22,00:05,A,92,6.1NRT,294.64,14.97,N
9.40418,23.69191,310.25,1,1,2021-11-22,00:05,A,31,6.1NRT,293.89,8.42,N
9.41312,23.69323,309,1,1,2021-11-22,00:05,A,76,6.1NRT,293.82,8.38,N
9.41443,23.68424,306.71,1,1,2021-11-22,00:05,A,69,6.1NRT,292.84,6.54,N
9.50733,23.62053,305.94,1,1,2021-11-22,00:05,A,66,6.1NRT,292.7,6.42,N
9.51759,23.61279,310.23,1,1,2021-11-22,00:05,A,79,6.1NRT,292.24,8.64,N
9.51892,23.60375,310.52,1,1,2021-11-22,00:05,A,74,6.1NRT,291.54,8.85,N
9.77628,21.9435,302.37,1.12,1.06,2021-11-22,00:05,A,34,6.1NRT,285.9,5.87,N
9.70373,22.58407,307.73,1.06,1.03,2021-11-22,00:05,A,72,6.1NRT,295.12,7.51,N
9.70509,22.57461,310,1.06,1.03,2021-11-22,00:05,A,79,6.1NRT,295.41,8.93,N
9.45847,25.12627,303.77,1.03,1.02,2021-11-22,00:05,A,57,6.1NRT,288.78,6.84,N
9.93194,22.34324,309.1,1.09,1.04,2021-11-22,00:05,A,76,6.1NRT,293.43,9.01,N
10.02566,22.39288,307.37,1.08,1.04,2021-11-22,00:05,A,59,6.1NRT,293.54,8.31,N
10.02706,22.38312,304.62,1.08,1.04,2021-11-22,00:05,A,35,6.1NRT,292.65,6.42,N
10.03359,22.38984,310.31,1.08,1.04,2021-11-22,00:05,A,56,6.1NRT,293.59,9.77,N
10.03496,22.38006,304.59,1.08,1.04,2021-11-22,00:05,A,16,6.1NRT,291.85,6.1,N
10.00134,22.81573,306.02,1.05,1.02,2021-11-22,00:05,A,67,6.1NRT,289.56,8.47,N
10.67256,18.40664,302.41,1.98,1.37,2021-11-22,00:05,A,48,6.1NRT,292.39,13.4,N
10.67485,18.38942,310.5,1.99,1.38,2021-11-22,00:05,A,80,6.1NRT,294.66,27.62,N
10.6767,18.39651,315.38,1.99,1.38,2021-11-22,00:05,A,91,6.1NRT,294.82,38.41,N
9.58082,26.44509,300.79,1.16,1.07,2021-11-22,00:05,A,15,6.1NRT,290.39,5.13,N
10.48108,22.93546,301.1,1.05,1.02,2021-11-22,00:05,A,37,6.1NRT,289.33,4.69,N
10.17343,25.70908,303.18,1.07,1.03,2021-11-22,00:05,A,54,6.1NRT,289.19,6.78,N
9.91188,27.80965,315.45,1.38,1.16,2021-11-22,00:05,A,91,6.1NRT,286.34,25.13,N
9.91383,27.79725,301.97,1.38,1.16,2021-11-22,00:05,A,41,6.1NRT,283.41,10.47,N
-7.84526,12.12081,312.73,3.02,1.65,2021-11-22,00:09,A,80,6.1NRT,287.17,51.24,N
-8.59327,26.22678,308.88,2.07,1.4,2021-11-22,00:09,A,63,6.1NRT,272.36,31.18,N
-18.66065,15.34886,307.35,1.16,1.07,2021-11-22,00:11,A,24,6.1NRT,290.04,9.68,N
-18.60586,15.33147,303.69,1.17,1.08,2021-11-22,00:11,A,22,6.1NRT,289.72,7.44,N
-18.59622,15.33314,302.85,1.17,1.08,2021-11-22,00:11,A,30,6.1NRT,289.14,6.98,N
-18.64002,15.35922,319.23,1.16,1.07,2021-11-22,00:11,A,52,6.1NRT,291.52,20.44,N
-18.5709,15.3601,308.64,1.17,1.07,2021-11-22,00:11,A,75,6.1NRT,290.71,12.04,N
-18.56802,15.36634,306.39,1.17,1.07,2021-11-22,00:11,A,47,6.1NRT,290.83,9.34,N
-18.52423,15.34023,306.19,1.17,1.08,2021-11-22,00:11,A,67,6.1NRT,290.19,9.78,N
-18.57268,15.37103,300.55,1.16,1.07,2021-11-22,00:11,A,30,6.1NRT,290.52,5.88,N
-18.6304,15.36093,352.33,1.16,1.07,2021-11-22,00:11,A,100,6.1NRT,295.79,84.48,N
-20.05783,16.2889,306.55,1.04,1.02,2021-11-22,00:13,A,11,6.1NRT,289.83,7.51,N
-19.9729,16.33985,336.69,1.04,1.02,2021-11-22,00:13,A,100,6.1NRT,293.39,40.5,N
-19.97441,16.34963,306.19,1.04,1.02,2021-11-22,00:13,A,27,6.1NRT,290.29,7.29,N
-19.98051,16.32843,317.9,1.04,1.02,2021-11-22,00:13,A,43,6.1NRT,291.83,15.41,N
-19.98812,16.31698,310.37,1.04,1.02,2021-11-22,00:13,A,31,6.1NRT,290.46,9.84,N
-23.09841,17.99363,303.81,1.03,1.01,2021-11-22,00:13,A,57,6.1NRT,284.55,7.94,N
-23.0907,18.00506,320.3,1.03,1.01,2021-11-22,00:13,A,100,6.1NRT,288.07,19.83,N
-23.0893,17.99511,323.46,1.03,1.01,2021-11-22,00:13,A,100,6.1NRT,286.9,23.65,N
-23.08159,18.00656,311.08,1.03,1.01,2021-11-22,00:13,A,27,6.1NRT,287.64,11.43,N
-23.07527,18.02798,319.69,1.03,1.01,2021-11-22,00:13,A,99,6.1NRT,290.38,19.42,N
-23.06616,18.02953,304.48,1.03,1.01,2021-11-22,00:13,A,44,6.1NRT,287.91,7.84,N
-20.0487,16.29048,307.28,1.04,1.02,2021-11-22,00:13,A,33,6.1NRT,289.49,7.92,N
-9.09518,-35.33175,306.2,2.7,1.57,2021-11-22,00:22,T,67,6.1NRT,292.94,27.48,N
-7.09642,-34.97498,316,2.36,1.48,2021-11-22,00:22,T,92,6.1NRT,294.29,45.87,N
-6.58185,-35.12036,307.12,2.38,1.49,2021-11-22,00:22,T,70,6.1NRT,294.38,22.3,N
-9.09898,-35.32467,304.14,2.7,1.57,2021-11-22,00:22,T,51,6.1NRT,292.49,20.66,N
-9.39756,-35.93801,306.35,3.05,1.66,2021-11-22,00:22,T,68,6.1NRT,292.32,30.09,N
-9.39684,-35.93157,306.69,3.05,1.66,2021-11-22,00:22,T,69,6.1NRT,292.35,32.4,N
-9.86584,-36.05064,323.12,3.16,1.68,2021-11-22,00:22,T,100,6.1NRT,292.79,110.24,N
-9.86226,-36.02211,328.84,3.14,1.68,2021-11-22,00:22,T,100,6.1NRT,292.1,143.64,N
-9.86369,-36.04548,328.18,3.16,1.68,2021-11-22,00:22,T,100,6.1NRT,292.89,140.63,N
-9.86033,-36.01698,320.17,3.14,1.68,2021-11-22,00:22,T,100,6.1NRT,291.48,92.7,N
-9.95191,-36.39349,302.59,3.37,1.73,2021-11-22,00:22,T,50,6.1NRT,292.38,24.46,N
-6.64292,146.45091,311.39,4.19,1.9,2021-11-22,01:13,T,28,6.1NRT,290.83,38.56,D
-5.03207,143.98282,317.68,2.53,1.53,2021-11-22,01:13,T,68,6.1NRT,289.43,49.23,D
-5.0391,143.9877,313.62,2.53,1.53,2021-11-22,01:13,T,60,6.1NRT,286.82,36.76,D
-16.61116,136.13585,332.7,1.08,1.04,2021-11-22,01:17,T,63,6.1NRT,306.5,14.68,D
-16.02045,132.08054,335.86,1.15,1.07,2021-11-22,01:17,T,80,6.1NRT,302.11,22.9,D
-16.08837,132.5177,348.18,1.1,1.05,2021-11-22,01:17,T,91,6.1NRT,306.32,45.31,D
-16.0267,132.05756,326.65,1.15,1.07,2021-11-22,01:17,T,45,6.1NRT,297.66,9.76,D
-16.5246,135.38907,357.55,1.03,1.01,2021-11-22,01:17,T,98,6.1NRT,313.31,56.35,D
-16.52597,135.39862,354.11,1.03,1.01,2021-11-22,01:17,T,95,6.1NRT,312.1,47.98,D
-16.53333,135.39159,343.18,1.03,1.01,2021-11-22,01:17,T,85,6.1NRT,310.01,25.25,D
-16.11958,132.49617,330.33,1.1,1.05,2021-11-22,01:17,T,67,6.1NRT,305.24,13.19,D
-16.12118,132.50636,330.33,1.1,1.05,2021-11-22,01:17,T,67,6.1NRT,304.59,12.9,D
-16.56161,135.32892,335.26,1.02,1.01,2021-11-22,01:17,T,56,6.1NRT,313.12,11.32,D
-16.57883,135.38483,338.7,1.03,1.01,2021-11-22,01:17,T,80,6.1NRT,311.38,16.75,D
-16.6951,135.55746,333.47,1.04,1.02,2021-11-22,01:17,T,55,6.1NRT,312.13,7.9,D
-17.70923,143.93523,321.7,3.82,1.83,2021-11-22,01:17,T,23,6.1NRT,299.71,46.27,D
-17.72213,143.89764,327,3.8,1.82,2021-11-22,01:17,T,66,6.1NRT,299.73,85.35,D
-17.72569,143.93343,330.28,3.82,1.83,2021-11-22,01:17,T,76,6.1NRT,298.52,115.88,D
-17.71563,143.92957,326.93,3.82,1.83,2021-11-22,01:17,T,63,6.1NRT,299.68,87.16,D
-16.74338,135.44582,332.13,1.03,1.02,2021-11-22,01:17,T,48,6.1NRT,311.02,7.39,D
-17.72874,143.89186,321.74,3.8,1.82,2021-11-22,01:17,T,36,6.1NRT,298.98,48.1,D
-17.73208,143.92769,328.2,3.82,1.83,2021-11-22,01:17,T,73,6.1NRT,297.95,100.39,D
-16.7525,135.44446,335.26,1.03,1.02,2021-11-22,01:17,T,59,6.1NRT,311.01,12.66,D
-16.79812,135.4377,330.23,1.03,1.02,2021-11-22,01:17,T,31,6.1NRT,309.48,8.07,D
-16.59731,133.86882,365.01,1.01,1,2021-11-22,01:17,T,100,6.1NRT,312.28,80.81,D
-16.59871,133.87819,332.39,1.01,1,2021-11-22,01:17,T,68,6.1NRT,309.26,11.11,D
-16.62432,133.86458,332.26,1.01,1,2021-11-22,01:17,T,71,6.1NRT,308.2,12.02,D
-16.555,132.74013,340.62,1.07,1.03,2021-11-22,01:17,T,81,6.1NRT,289.48,35.75,D
-16.55653,132.75005,326.17,1.07,1.03,2021-11-22,01:17,T,15,6.1NRT,286.74,14.55,D
-16.57503,132.74704,331.1,1.07,1.03,2021-11-22,01:17,T,62,6.1NRT,287.31,18.48,D
-16.75227,133.85756,334.02,1.01,1,2021-11-22,01:17,T,70,6.1NRT,311.12,11.94,D
-17.37257,137.94603,336.06,1.37,1.16,2021-11-22,01:17,T,77,6.1NRT,304.02,35.16,D
-17.37419,137.95876,334.1,1.37,1.16,2021-11-22,01:17,T,77,6.1NRT,303.06,30,D
-18.16116,143.04372,341.83,3.32,1.72,2021-11-22,01:17,T,87,6.1NRT,301.18,172.63,D
-18.15673,143.03882,332.87,3.32,1.72,2021-11-22,01:17,T,61,6.1NRT,301.78,94.38,D
-18.15966,143.07007,328.13,3.34,1.72,2021-11-22,01:17,T,26,6.1NRT,300.01,65.5,D
-18.17227,143.03732,330.92,3.32,1.72,2021-11-22,01:17,T,70,6.1NRT,300.16,86.64,D
-18.17524,143.06862,323.63,3.34,1.72,2021-11-22,01:17,T,23,6.1NRT,299,42.66,D
-17.50982,137.03839,345.52,1.21,1.1,2021-11-22,01:17,T,89,6.1NRT,304.55,42.74,D
-17.5113,137.04979,341.77,1.22,1.1,2021-11-22,01:17,T,86,6.1NRT,303.2,34.31,D
-17.51279,137.0612,349.67,1.22,1.1,2021-11-22,01:17,T,93,6.1NRT,304.5,55.83,D
-18.14465,142.44104,324.71,2.99,1.64,2021-11-22,01:17,T,53,6.1NRT,300.69,36.7,D
-17.56518,137.07716,338.29,1.22,1.1,2021-11-22,01:17,T,82,6.1NRT,308.61,24.92,D
-17.56671,137.08861,349.36,1.22,1.1,2021-11-22,01:17,T,93,6.1NRT,307.2,53.39,D
-17.57813,137.09866,355.85,1.22,1.1,2021-11-22,01:17,T,97,6.1NRT,308.5,74.3,D
-17.57966,137.11012,345.3,1.23,1.1,2021-11-22,01:17,T,89,6.1NRT,305.23,45.71,D
-16.73007,131.2549,335.05,1.24,1.11,2021-11-22,01:17,T,77,6.1NRT,303.59,20.49,D
-16.7319,131.26645,344.64,1.24,1.11,2021-11-22,01:17,T,88,6.1NRT,303.88,42.88,D
-16.73373,131.27795,339.33,1.24,1.11,2021-11-22,01:17,T,83,6.1NRT,302.77,30.21,D
-17.58802,137.09727,358.85,1.22,1.1,2021-11-22,01:17,T,99,6.1NRT,305.73,81.94,D
-16.72928,131.2484,333.85,1.24,1.11,2021-11-22,01:17,T,75,6.1NRT,303.44,18.26,D
-16.73118,131.25995,338.52,1.24,1.11,2021-11-22,01:17,T,82,6.1NRT,303.81,28.15,D
-16.73308,131.27147,345.21,1.24,1.11,2021-11-22,01:17,T,89,6.1NRT,303.81,44.18,D
-16.91704,132.41234,335.5,1.09,1.04,2021-11-22,01:17,T,76,6.1NRT,306.03,20.89,D
-17.58807,137.09077,345.37,1.22,1.1,2021-11-22,01:17,T,84,6.1NRT,307.58,39.35,D
-17.58954,137.10222,344.99,1.23,1.1,2021-11-22,01:17,T,85,6.1NRT,304.59,41.19,D
-16.7411,131.25824,331.73,1.24,1.11,2021-11-22,01:17,T,70,6.1NRT,301.27,13.92,D
-16.743,131.26979,345.24,1.24,1.11,2021-11-22,01:17,T,89,6.1NRT,304.12,43.56,D
-16.74487,131.28122,331.73,1.24,1.11,2021-11-22,01:17,T,70,6.1NRT,303.33,13.69,D
-17.58124,136.88399,332.52,1.19,1.09,2021-11-22,01:17,T,31,6.1NRT,309.06,11.98,D
-17.58417,136.9064,353.06,1.2,1.09,2021-11-22,01:17,T,95,6.1NRT,309.61,59.15,D
