latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-6.73671,146.39412,312.34,2.51,1.52,2021-10-24,00:07,T,47,6.1NRT,290.52,23.86,D
-14.96864,143.96036,324.66,2.69,1.57,2021-10-24,00:09,T,32,6.1NRT,304.02,42.93,D
-14.57854,141.76956,320.31,4,1.86,2021-10-24,00:09,T,53,6.1NRT,304.02,53.99,D
-14.58242,141.76128,318.94,4,1.86,2021-10-24,00:09,T,46,6.1NRT,303.71,46.32,D
-14.5896,141.79791,321.51,3.97,1.85,2021-10-24,00:09,T,58,6.1NRT,302.4,67.66,D
-15.27226,145.29521,327.23,2.1,1.41,2021-10-24,00:09,T,0,6.1NRT,302.25,50.23,D
-15.21887,141.81174,322.45,3.85,1.83,2021-10-24,00:09,T,35,6.1NRT,304.61,44.76,D
-15.89164,144.17227,341.8,2.49,1.52,2021-10-24,00:09,T,90,6.1NRT,306.9,131.22,D
-15.89567,144.19511,337.11,2.48,1.52,2021-10-24,00:09,T,86,6.1NRT,307.35,100.63,D
-15.88898,144.19081,320.8,2.48,1.52,2021-10-24,00:09,T,52,6.1NRT,306.47,28.23,D
-15.89825,144.16492,328.14,2.49,1.52,2021-10-24,00:09,T,77,6.1NRT,305.44,56.71,D
-15.90239,144.1875,337.8,2.48,1.52,2021-10-24,00:09,T,87,6.1NRT,307.32,105.99,D
-16.10736,145.10506,328.81,2.09,1.41,2021-10-24,00:09,T,77,6.1NRT,299.39,56.33,D
-16.29066,143.31598,323.74,2.83,1.61,2021-10-24,00:09,T,57,6.1NRT,305.82,30.85,D
-16.09548,141.71796,323.99,3.75,1.81,2021-10-24,00:09,T,62,6.1NRT,302.04,45.79,D
-16.2926,141.69989,324.05,3.73,1.81,2021-10-24,00:09,T,9,6.1NRT,302.29,44.98,D
-16.78644,142.50722,325.72,3.18,1.69,2021-10-24,00:09,T,63,6.1NRT,305.12,51.67,D
-16.78315,142.50096,325.92,3.18,1.69,2021-10-24,00:09,T,64,6.1NRT,304.55,53.67,D
-16.79053,142.14574,324.47,3.37,1.73,2021-10-24,00:09,T,36,6.1NRT,303.78,42.53,D
-16.78752,142.04782,323.27,3.43,1.74,2021-10-24,00:09,T,65,6.1NRT,302.05,48.35,D
-16.80599,142.14256,326.44,3.37,1.73,2021-10-24,00:09,T,56,6.1NRT,303.63,56.09,D
-17.26959,141.34996,321.96,3.78,1.82,2021-10-24,00:09,T,53,6.1NRT,298.29,50.94,D
-17.2764,141.38499,326.84,3.75,1.81,2021-10-24,00:09,T,72,6.1NRT,298.9,88.53,D
-17.26626,141.37968,321.92,3.75,1.81,2021-10-24,00:09,T,32,6.1NRT,299.18,50.55,D
-17.28241,141.37627,324.74,3.75,1.81,2021-10-24,00:09,T,62,6.1NRT,298.49,69.48,D
-18.2319,144.6069,329.34,2.07,1.4,2021-10-24,00:09,T,52,6.1NRT,307.05,33.42,D
-18.26385,144.64122,330.92,2.06,1.4,2021-10-24,00:09,T,30,6.1NRT,308.26,33.39,D
-18.27115,144.53041,331.01,2.09,1.41,2021-10-24,00:09,T,72,6.1NRT,304.39,47.01,D
-18.2837,144.5278,360.46,2.09,1.41,2021-10-24,00:09,T,100,6.1NRT,305.23,217.13,D
-18.29812,144.60732,362.05,2.07,1.4,2021-10-24,00:09,T,100,6.1NRT,309.7,213.67,D
-18.316,144.56281,333.09,2.08,1.4,2021-10-24,00:09,T,49,6.1NRT,303.13,51.5,D
-18.34457,144.57765,335.9,2.07,1.4,2021-10-24,00:09,T,76,6.1NRT,306.41,65.78,D
-18.34807,144.59741,355.73,2.07,1.4,2021-10-24,00:09,T,97,6.1NRT,308.16,174.63,D
-18.33265,144.57382,328.26,2.07,1.4,2021-10-24,00:09,T,31,6.1NRT,304.95,36.94,D
-18.34517,144.57143,326.1,2.07,1.4,2021-10-24,00:09,T,29,6.1NRT,305.36,31.05,D
-18.3488,144.59113,347.92,2.07,1.4,2021-10-24,00:09,T,93,6.1NRT,307.62,127.38,D
-18.35245,144.61087,334.85,2.06,1.4,2021-10-24,00:09,T,83,6.1NRT,306.3,63.49,D
-18.37379,144.58626,344.99,2.07,1.4,2021-10-24,00:09,T,91,6.1NRT,303.84,118.57,D
-18.84586,146.54553,312.8,1.47,1.2,2021-10-24,00:09,T,48,6.1NRT,295.35,14.36,D
-14.96799,144.03662,328.03,2.65,1.56,2021-10-24,00:09,T,69,6.1NRT,305.94,51.46,D
-13.43853,142.63043,316.9,3.64,1.79,2021-10-24,00:09,T,63,6.1NRT,299.27,37.48,D
-13.44468,142.6637,319.6,3.62,1.78,2021-10-24,00:09,T,71,6.1NRT,300.31,51.72,D
-14.0856,142.802,315.84,3.43,1.74,2021-10-24,00:09,T,31,6.1NRT,294.11,29.4,D
-14.1008,142.82451,316.81,3.41,1.74,2021-10-24,00:09,T,43,6.1NRT,297.37,35.77,D
-14.27472,143.51779,316.65,3,1.65,2021-10-24,00:09,T,58,6.1NRT,298.37,28.28,D
-14.27938,143.53925,316.46,2.99,1.64,2021-10-24,00:09,T,47,6.1NRT,297.44,28.42,D
-14.31205,143.05449,323.88,3.25,1.7,2021-10-24,00:09,T,77,6.1NRT,300.73,62.96,D
-14.31553,143.06084,327.06,3.25,1.7,2021-10-24,00:09,T,77,6.1NRT,300.16,76.93,D
-25.24227,148.03343,345.43,1.04,1.02,2021-10-24,00:11,T,91,6.1NRT,310.71,36.36,D
-26.48176,152.14468,345.96,1.21,1.1,2021-10-24,00:11,T,92,6.1NRT,308.42,56.07,D
-26.49775,152.52405,323.45,1.27,1.12,2021-10-24,00:11,T,71,6.1NRT,300.67,19.4,D
-25.24387,148.04367,331.82,1.04,1.02,2021-10-24,00:11,T,64,6.1NRT,310.28,13.53,D
-25.75255,151.67882,323.04,1.13,1.06,2021-10-24,00:11,T,59,6.1NRT,308.63,9.42,D
-25.23312,148.03514,342.88,1.04,1.02,2021-10-24,00:11,T,90,6.1NRT,310.74,31.75,D
-25.23152,148.02492,333.73,1.04,1.02,2021-10-24,00:11,T,66,6.1NRT,309.63,17.99,D
-25.10934,147.89485,332.52,1.05,1.02,2021-10-24,00:11,T,80,6.1NRT,308.8,19.46,D
-24.82891,147.23787,329.05,1.11,1.05,2021-10-24,00:11,T,61,6.1NRT,308.15,16.08,D
-24.84273,148.06535,332.74,1.04,1.02,2021-10-24,00:11,T,47,6.1NRT,294.77,24.78,D
-24.8438,148.67316,333.85,1.01,1.01,2021-10-24,00:11,T,62,6.1NRT,311.13,16.44,D
-24.84229,148.66316,331.19,1.01,1.01,2021-10-24,00:11,T,19,6.1NRT,309.95,13.06,D
-24.84077,148.65317,361.02,1.01,1.01,2021-10-24,00:11,T,100,6.1NRT,309.95,74.54,D
-24.83172,148.65479,336.96,1.01,1.01,2021-10-24,00:11,T,62,6.1NRT,310.02,21.04,D
-24.83021,148.64482,332.31,1.02,1.01,2021-10-24,00:11,T,35,6.1NRT,306.16,15.86,D
-24.82267,148.65642,334.23,1.01,1.01,2021-10-24,00:11,T,67,6.1NRT,308.61,15.95,D
-24.82115,148.64644,332.87,1.02,1.01,2021-10-24,00:11,T,47,6.1NRT,306.89,15.74,D
-24.66125,148.20508,331.46,1.04,1.02,2021-10-24,00:11,T,45,6.1NRT,306.23,12.19,D
-24.65803,148.18423,345.46,1.04,1.02,2021-10-24,00:11,T,91,6.1NRT,309.05,37.41,D
-24.64614,148.22887,332.04,1.04,1.02,2021-10-24,00:11,T,73,6.1NRT,308.64,17.18,D
-24.64299,148.20857,330.37,1.04,1.02,2021-10-24,00:11,T,74,6.1NRT,307.71,15.86,D
-24.64138,148.19823,325.98,1.04,1.02,2021-10-24,00:11,T,38,6.1NRT,306.98,9.18,D
-24.63224,148.19991,328,1.04,1.02,2021-10-24,00:11,T,48,6.1NRT,307.15,11.04,D
-24.59693,147.9743,323.1,1.05,1.03,2021-10-24,00:11,T,54,6.1NRT,304.51,11.64,D
-24.58936,147.98637,322.73,1.05,1.02,2021-10-24,00:11,T,52,6.1NRT,303.33,11.23,D
-24.58771,147.97589,335.7,1.05,1.03,2021-10-24,00:11,T,82,6.1NRT,303.95,28.61,D
-21.30484,145.8727,345.83,1.48,1.2,2021-10-24,00:11,T,92,6.1NRT,300.31,73.94,D
-21.30239,145.85857,366.4,1.48,1.2,2021-10-24,00:11,T,100,6.1NRT,302.37,163.87,D
-21.10718,145.46533,331.37,1.58,1.24,2021-10-24,00:11,T,53,6.1NRT,305.67,28.85,D
-21.08199,147.7925,331.24,1.16,1.07,2021-10-24,00:11,T,78,6.1NRT,306.35,17.55,D
-21.0011,148.22615,341.7,1.11,1.05,2021-10-24,00:11,T,88,6.1NRT,302.19,39.63,D
-20.99933,148.21523,343.74,1.11,1.05,2021-10-24,00:11,T,90,6.1NRT,302.25,42.75,D
-20.99881,148.24374,337.99,1.11,1.05,2021-10-24,00:11,T,85,6.1NRT,303.37,30.21,D
-20.99713,148.23306,370.1,1.11,1.05,2021-10-24,00:11,T,100,6.1NRT,304.29,119.12,D
-20.99541,148.22208,355.61,1.11,1.05,2021-10-24,00:11,T,97,6.1NRT,303.95,70.24,D
-20.9937,148.21118,328.68,1.11,1.05,2021-10-24,00:11,T,71,6.1NRT,302.43,13.98,D
-20.98939,148.24544,335.46,1.11,1.05,2021-10-24,00:11,T,80,6.1NRT,304.31,24.09,D
-20.98772,148.23488,343.61,1.11,1.05,2021-10-24,00:11,T,90,6.1NRT,305.81,39.19,D
-20.97996,148.24702,327.86,1.11,1.05,2021-10-24,00:11,T,29,6.1NRT,302.71,12.77,D
-20.9783,148.23657,337.35,1.11,1.05,2021-10-24,00:11,T,79,6.1NRT,305.71,26.86,D
-20.96886,148.23816,336.45,1.11,1.05,2021-10-24,00:11,T,75,6.1NRT,304.87,26.14,D
-20.95943,148.23976,330.23,1.11,1.05,2021-10-24,00:11,T,42,6.1NRT,303.22,16.88,D
-20.95002,148.24156,329.72,1.11,1.05,2021-10-24,00:11,T,56,6.1NRT,302.3,17.13,D
-20.94833,148.23096,350.07,1.11,1.05,2021-10-24,00:11,T,94,6.1NRT,304.81,56.31,D
-20.94486,148.20924,339.69,1.11,1.05,2021-10-24,00:11,T,86,6.1NRT,304.86,31.67,D
-19.73165,143.79367,335.98,2.22,1.44,2021-10-24,00:11,T,82,6.1NRT,301.32,86.69,D
-19.72771,143.77242,322.73,2.23,1.45,2021-10-24,00:11,T,42,6.1NRT,299.24,34.95,D
-19.71875,143.79626,328.96,2.22,1.44,2021-10-24,00:11,T,39,6.1NRT,302.83,50.47,D
-19.7148,143.77505,342.44,2.23,1.45,2021-10-24,00:11,T,88,6.1NRT,302.88,117.73,D
-19.7059,143.79907,333.89,2.22,1.44,2021-10-24,00:11,T,56,6.1NRT,305.36,63.94,D
-19.70193,143.77789,354.97,2.23,1.45,2021-10-24,00:11,T,97,6.1NRT,306.41,194.26,D
-19.69793,143.75656,359.39,2.23,1.45,2021-10-24,00:11,T,99,6.1NRT,304.07,238.94,D
-19.68601,143.69308,333.89,2.26,1.46,2021-10-24,00:11,T,80,6.1NRT,298.47,82.32,D
-19.682,143.67175,345.46,2.27,1.46,2021-10-24,00:11,T,91,6.1NRT,299.52,143.98,D
-19.68904,143.78065,343.34,2.23,1.45,2021-10-24,00:11,T,89,6.1NRT,306.23,110.18,D
-19.68503,143.75938,362.62,2.23,1.45,2021-10-24,00:11,T,100,6.1NRT,305.42,258.99,D
-19.67706,143.71715,341.59,2.25,1.45,2021-10-24,00:11,T,77,6.1NRT,303.95,109.06,D
-19.67303,143.69583,346.63,2.26,1.46,2021-10-24,00:11,T,91,6.1NRT,303.29,143.74,D
-19.66898,143.67444,348.65,2.27,1.46,2021-10-24,00:11,T,90,6.1NRT,304.6,152.4,D
-19.65657,143.60889,326.76,2.29,1.47,2021-10-24,00:11,T,20,6.1NRT,300.79,46.56,D
-19.67213,143.76218,355.95,2.23,1.45,2021-10-24,00:11,T,97,6.1NRT,304.78,195.77,D
-19.65187,143.65561,347.62,2.28,1.46,2021-10-24,00:11,T,92,6.1NRT,303.71,132.01,D
-19.6263,143.59291,334.77,2.3,1.47,2021-10-24,00:11,T,23,6.1NRT,302.22,63.07,D
-19.69145,143.78619,333.22,2.23,1.45,2021-10-24,00:11,T,74,6.1NRT,305.97,55.89,D
-19.68759,143.76486,368.96,2.23,1.45,2021-10-24,00:11,T,100,6.1NRT,306.82,316.39,D
-19.67992,143.72249,334.39,2.25,1.45,2021-10-24,00:11,T,46,6.1NRT,303.03,61.78,D
-19.67605,143.70116,350.46,2.26,1.46,2021-10-24,00:11,T,94,6.1NRT,302.8,157.04,D
-19.67216,143.67976,363.31,2.27,1.46,2021-10-24,00:11,T,100,6.1NRT,305,257.98,D
-19.66821,143.65797,335.78,2.28,1.46,2021-10-24,00:11,T,51,6.1NRT,302.97,67.7,D
-19.66423,143.63606,334.19,2.29,1.46,2021-10-24,00:11,T,30,6.1NRT,302.27,64.28,D
-19.67469,143.76765,368.1,2.23,1.45,2021-10-24,00:11,T,100,6.1NRT,305.95,304.43,D
-19.65521,143.66089,345.8,2.28,1.46,2021-10-24,00:11,T,91,6.1NRT,303.59,115.36,D
-19.64319,143.59512,345.02,2.3,1.47,2021-10-24,00:11,T,74,6.1NRT,301.48,129.07,D
-19.64222,143.6638,331.73,2.28,1.46,2021-10-24,00:11,T,49,6.1NRT,304.58,41.11,D
-19.63014,143.59811,337.5,2.3,1.47,2021-10-24,00:11,T,54,6.1NRT,302.16,81.44,D
-19.62112,143.62292,339.98,2.29,1.47,2021-10-24,00:11,T,86,6.1NRT,304.67,81.44,D
-19.61709,143.60115,335.86,2.3,1.47,2021-10-24,00:11,T,63,6.1NRT,304.84,63.53,D
-19.61304,143.57928,331.69,2.31,1.47,2021-10-24,00:11,T,22,6.1NRT,303.79,52.21,D
-19.22459,141.70775,330.97,3.23,1.7,2021-10-24,00:11,T,77,6.1NRT,300.72,82.08,D
-19.59819,143.71773,333.13,2.26,1.46,2021-10-24,00:11,T,68,6.1NRT,304.71,60.87,D
-19.58523,143.72058,331.37,2.26,1.46,2021-10-24,00:11,T,67,6.1NRT,305.22,53.58,D
-19.58848,143.72667,333.6,2.26,1.46,2021-10-24,00:11,T,79,6.1NRT,305.04,63.39,D
-19.21335,141.71733,327.02,3.23,1.7,2021-10-24,00:11,T,61,6.1NRT,301.07,52.56,D
-19.34584,143.5769,324.84,2.34,1.48,2021-10-24,00:11,T,63,6.1NRT,305.68,33.17,D
-19.34164,143.55507,325.17,2.35,1.48,2021-10-24,00:11,T,64,6.1NRT,305.08,35.67,D
-19.31583,143.42093,351.66,2.41,1.5,2021-10-24,00:11,T,95,6.1NRT,303.81,198.47,D
-19.34661,143.56094,329.72,2.35,1.48,2021-10-24,00:11,T,74,6.1NRT,305.05,55.28,D
-19.32183,143.4267,335.26,2.41,1.5,2021-10-24,00:11,T,82,6.1NRT,303,91.5,D
-19.30842,143.42921,349.22,2.41,1.5,2021-10-24,00:11,T,93,6.1NRT,304.72,175.26,D
-19.30418,143.4064,326.25,2.42,1.5,2021-10-24,00:11,T,65,6.1NRT,301.99,45.26,D
-19.29501,143.43172,327.77,2.41,1.5,2021-10-24,00:11,T,69,6.1NRT,303.34,47.92,D
-19.29074,143.40891,327.14,2.42,1.5,2021-10-24,00:11,T,67,6.1NRT,301.62,46.46,D
-19.28163,143.43433,323.42,2.41,1.5,2021-10-24,00:11,T,58,6.1NRT,304.01,32.44,D
-19.27734,143.41156,343.87,2.42,1.5,2021-10-24,00:11,T,90,6.1NRT,304.67,138.29,D
-19.2725,143.45946,328.72,2.4,1.49,2021-10-24,00:11,T,72,6.1NRT,304.72,51.53,D
-19.26822,143.43687,343.93,2.41,1.5,2021-10-24,00:11,T,90,6.1NRT,306.16,136.63,D
-19.26047,143.44424,328.28,2.41,1.5,2021-10-24,00:11,T,72,6.1NRT,305.05,53.51,D
-19.76128,147.05157,324.48,1.32,1.14,2021-10-24,00:11,T,34,6.1NRT,299.27,14.95,D
-19.75106,147.05345,333.34,1.32,1.14,2021-10-24,00:11,T,71,6.1NRT,301.33,31.5,D
-19.74897,147.04094,325.99,1.32,1.14,2021-10-24,00:11,T,23,6.1NRT,299.74,16.88,D
-18.64263,141.48128,334.35,3.45,1.75,2021-10-24,00:11,T,82,6.1NRT,299.7,126.23,D
-18.58105,141.63556,324.26,3.37,1.73,2021-10-24,00:11,T,66,6.1NRT,299.84,46.52,D
-18.57479,141.60382,328.7,3.39,1.74,2021-10-24,00:11,T,75,6.1NRT,299.62,74.48,D
-18.60855,141.85619,322.12,3.25,1.7,2021-10-24,00:11,T,33,6.1NRT,299.01,35.51,D
-18.56561,141.6389,325.15,3.37,1.73,2021-10-24,00:11,T,61,6.1NRT,300.55,48.8,D
-18.55931,141.60718,327.35,3.39,1.74,2021-10-24,00:11,T,73,6.1NRT,300.95,63.1,D
-18.59936,141.8898,323.39,3.23,1.7,2021-10-24,00:11,T,36,6.1NRT,300.03,38.46,D
-18.59335,141.85944,327.95,3.25,1.7,2021-10-24,00:11,T,74,6.1NRT,300.83,69,D
-18.59716,141.86441,333.98,3.25,1.7,2021-10-24,00:11,T,81,6.1NRT,300.65,105.66,D
-18.74119,143.653,326.62,2.38,1.49,2021-10-24,00:11,T,56,6.1NRT,304.55,39.76,D
-18.73699,143.63077,336.22,2.39,1.49,2021-10-24,00:11,T,83,6.1NRT,306.5,83.64,D
-18.72886,143.6384,347.5,2.39,1.49,2021-10-24,00:11,T,92,6.1NRT,308.89,151.95,D
-18.70237,143.64459,327.16,2.39,1.49,2021-10-24,00:11,T,65,6.1NRT,306.71,40.14,D
-18.16327,141.55093,327.32,3.49,1.76,2021-10-24,00:11,T,72,6.1NRT,299.3,78.12,D
-18.16998,141.55537,327.34,3.49,1.76,2021-10-24,00:11,T,72,6.1NRT,299.15,78.53,D
-27.27962,148.21844,356.82,1.01,1,2021-10-24,00:13,T,98,6.1NRT,312.68,60.78,D
-27.27059,148.22012,334.77,1.01,1,2021-10-24,00:13,T,78,6.1NRT,311.23,16.88,D
-27.28116,148.22859,330.97,1.01,1,2021-10-24,00:13,T,72,6.1NRT,311.77,11.76,D
-35.32944,149.18561,310.22,1.11,1.05,2021-10-24,00:16,T,32,6.1NRT,298.45,6.17,D
-34.45662,150.88148,314.23,1.29,1.13,2021-10-24,00:16,T,57,6.1NRT,296.47,10.96,D
48.60691,21.1856,300.81,1.42,1.18,2021-10-24,00:24,A,34,6.1NRT,273.42,15.65,N
29.0734,19.06306,301.11,1.07,1.03,2021-10-24,00:30,A,38,6.1NRT,288.9,5.79,N
29.23578,19.69911,316.84,1.03,1.01,2021-10-24,00:30,A,94,6.1NRT,288.94,16.39,N
