latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.57097,23.28038,301.44,1.15,1.07,2021-10-23,00:01,A,41,6.1NRT,289.7,6.3,N
-19.56752,23.27649,304.59,1.15,1.07,2021-10-23,00:01,A,61,6.1NRT,290.02,7.9,N
-19.88162,22.88809,315.53,1.11,1.05,2021-10-23,00:01,A,91,6.1NRT,292.49,16.4,N
-19.87216,22.88948,310.51,1.11,1.05,2021-10-23,00:01,A,80,6.1NRT,291.86,11.7,N
-7.0901,-35.10385,305.14,4.25,1.91,2021-10-23,00:09,T,20,6.1NRT,291.35,48.79,N
-14.23422,133.94212,334.48,1.44,1.19,2021-10-23,01:05,T,77,6.1NRT,305.13,29.84,D
-14.23203,133.92888,337.76,1.44,1.19,2021-10-23,01:05,T,72,6.1NRT,306.58,35.75,D
-14.18732,133.65907,334.89,1.5,1.21,2021-10-23,01:05,T,61,6.1NRT,306.35,28.56,D
-14.18504,133.64536,335.74,1.51,1.21,2021-10-23,01:05,T,52,6.1NRT,306.34,31.13,D
-14.18275,133.63159,342.04,1.51,1.21,2021-10-23,01:05,T,86,6.1NRT,305.13,50.93,D
-14.17647,133.66087,337.19,1.5,1.21,2021-10-23,01:05,T,78,6.1NRT,306.13,34.53,D
-13.76773,131.29027,328.55,2.29,1.46,2021-10-23,01:05,T,70,6.1NRT,299.25,47.88,D
-13.764,131.2693,328.97,2.29,1.47,2021-10-23,01:05,T,71,6.1NRT,300.26,49.74,D
-13.71019,130.96761,324.67,2.43,1.5,2021-10-23,01:05,T,33,6.1NRT,300.71,32.57,D
-14.10086,133.27917,328.21,1.6,1.25,2021-10-23,01:05,T,66,6.1NRT,303.34,20.8,D
-14.09837,133.26448,327.8,1.61,1.25,2021-10-23,01:05,T,64,6.1NRT,302.83,19.77,D
-13.75092,131.27182,338.52,2.29,1.47,2021-10-23,01:05,T,84,6.1NRT,299.83,94.87,D
-14.20241,133.94775,332,1.44,1.19,2021-10-23,01:05,T,69,6.1NRT,305.76,22.98,D
-13.75432,131.27713,335.54,2.29,1.47,2021-10-23,01:05,T,81,6.1NRT,300.2,79.11,D
-14.13511,133.63127,332,1.51,1.21,2021-10-23,01:05,T,49,6.1NRT,306.68,22.12,D
-14.13287,133.61754,333.43,1.52,1.22,2021-10-23,01:05,T,59,6.1NRT,307.71,24.76,D
-13.74123,131.27963,326.2,2.29,1.47,2021-10-23,01:05,T,58,6.1NRT,299.29,36.9,D
-13.73761,131.25856,328.27,2.3,1.47,2021-10-23,01:05,T,68,6.1NRT,298.31,42.37,D
-14.15358,133.87993,331.73,1.46,1.19,2021-10-23,01:05,T,70,6.1NRT,307.31,19.88,D
-13.70768,131.24232,327.82,2.31,1.47,2021-10-23,01:05,T,66,6.1NRT,298.95,40.97,D
-14.09285,133.93781,348.67,1.45,1.19,2021-10-23,01:05,T,93,6.1NRT,308,67.26,D
-13.25874,130.34262,320.67,2.76,1.59,2021-10-23,01:05,T,19,6.1NRT,294.88,36.77,D
-13.24906,130.37041,322.24,2.75,1.59,2021-10-23,01:05,T,32,6.1NRT,297.53,41.92,D
-13.02139,130.37314,320.96,2.78,1.59,2021-10-23,01:05,T,46,6.1NRT,295.68,40.56,D
-13.01888,130.37982,323.67,2.78,1.59,2021-10-23,01:05,T,64,6.1NRT,295.37,53.64,D
-13.0885,132.38823,326.7,1.95,1.36,2021-10-23,01:05,T,66,6.1NRT,301.17,20.52,D
-13.3173,135.75328,355.73,1.16,1.07,2021-10-23,01:05,T,97,6.1NRT,308.25,64.08,D
-13.31563,135.74271,335.26,1.16,1.07,2021-10-23,01:05,T,71,6.1NRT,309.41,13.61,D
-13.36176,136.09778,312.32,1.12,1.05,2021-10-23,01:05,T,54,6.1NRT,300.16,7.59,D
-13.30769,135.75482,341.39,1.16,1.07,2021-10-23,01:05,T,86,6.1NRT,309.18,28.84,D
-12.10614,132.71799,326.15,1.91,1.35,2021-10-23,01:05,T,48,6.1NRT,302.87,28.86,D
-12.11824,132.71591,325.76,1.91,1.35,2021-10-23,01:05,T,0,6.1NRT,302.05,26.59,D
-12.72019,136.46631,333.56,1.09,1.04,2021-10-23,01:05,T,52,6.1NRT,301.55,19.54,D
-12.72172,136.47626,333.13,1.09,1.04,2021-10-23,01:05,T,47,6.1NRT,304.08,16.13,D
-12.63752,135.86868,330.42,1.16,1.07,2021-10-23,01:05,T,64,6.1NRT,304.12,14.9,D
-12.76257,136.39217,329.1,1.1,1.05,2021-10-23,01:05,T,53,6.1NRT,301.32,12.94,D
-13.10582,136.1051,334.48,1.12,1.06,2021-10-23,01:05,T,66,6.1NRT,303.71,17.63,D
-13.11528,136.10359,352.48,1.12,1.06,2021-10-23,01:05,T,91,6.1NRT,302.23,58.65,D
-13.11847,136.12408,338.59,1.12,1.05,2021-10-23,01:05,T,57,6.1NRT,303.19,26.31,D
-14.16673,143.26929,320.95,1.76,1.3,2021-10-23,01:05,T,41,6.1NRT,297.37,13.42,D
-12.73633,133.38358,324.28,1.67,1.27,2021-10-23,01:05,T,56,6.1NRT,299.57,19.64,D
-14.16215,143.26344,326.08,1.76,1.3,2021-10-23,01:05,T,53,6.1NRT,300.53,23.86,D
-14.32306,143.54218,321.84,1.85,1.33,2021-10-23,01:05,T,41,6.1NRT,303.14,14.21,D
-14.33715,143.55791,326.34,1.86,1.33,2021-10-23,01:05,T,69,6.1NRT,303.74,26.08,D
-14.28797,143.06418,323.14,1.7,1.28,2021-10-23,01:05,T,22,6.1NRT,301.86,17.74,D
-14.30903,143.04547,341.18,1.7,1.28,2021-10-23,01:05,T,88,6.1NRT,301.53,68.48,D
-14.31104,143.06126,340.79,1.7,1.28,2021-10-23,01:05,T,88,6.1NRT,301.22,68.47,D
-14.33208,143.04265,326.35,1.7,1.28,2021-10-23,01:05,T,72,6.1NRT,299.7,24.22,D
-13.44775,142.64618,334.15,1.55,1.23,2021-10-23,01:05,T,83,6.1NRT,302.31,42.32,D
-13.44952,142.66031,326.54,1.55,1.23,2021-10-23,01:05,T,75,6.1NRT,302.7,21.89,D
-12.21901,133.60016,337.35,1.64,1.26,2021-10-23,01:05,T,82,6.1NRT,299.36,43.72,D
-12.21726,133.59387,330.69,1.64,1.26,2021-10-23,01:05,T,72,6.1NRT,298.77,24.52,D
-12.21975,133.60867,332.57,1.64,1.26,2021-10-23,01:05,T,76,6.1NRT,300.34,29.2,D
-17.26131,137.63625,328.95,1,1,2021-10-23,01:05,T,74,6.1NRT,308.67,11.31,D
-17.25368,137.647,331.24,1,1,2021-10-23,01:05,T,78,6.1NRT,310.96,13.9,D
-16.11902,131.69238,329.91,1.92,1.35,2021-10-23,01:05,T,60,6.1NRT,303.04,24.76,D
-16.12475,131.67958,327.96,1.93,1.36,2021-10-23,01:05,T,48,6.1NRT,302.06,19.99,D
